slug,title,category,date,word_count,thin_flag,duplicate_cluster_id,cannibalization_group,internal_link_count,boilerplate_ratio,demand,label,reason
10-best-countries-for-solo-travelers-in-2026-visa-budget-guide,10 Best Countries for Solo Travelers in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1395,,dup-007,,7,0.395,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-students-on-a-budget-in-2026-visa-budget-guide,10 Best Countries for Students on a Budget in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1395,,dup-007,,7,0.395,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-visa-free-weekend-trips-in-2026-visa-budget-guide,10 Best Countries for Visa-Free Weekend Trips in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1419,,dup-007,,7,0.387,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-winter-sun-in-2026-visa-budget-guide,10 Best Countries for Winter Sun in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1394,,dup-007,,7,0.395,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-europe-countries-to-visit-in-2026-with-visa-tips,10 Best Europe Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1467,,dup-007,,7,0.376,high,DEEPEN,"high-demand route in template family dup-007 (n=38); rebuild as unique page, keep keyword"
10-best-middle-east-countries-to-visit-in-2026-with-visa-tips,10 Best Middle East Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1385,,dup-007,,7,0.398,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-north-america-countries-to-visit-in-2026-with-visa-tips,10 Best North America Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1463,,dup-007,,7,0.376,high,DEEPEN,"high-demand route in template family dup-007 (n=38); rebuild as unique page, keep keyword"
10-best-oceania-countries-to-visit-in-2026-with-visa-tips,10 Best Oceania Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1461,,dup-007,,7,0.376,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-south-america-countries-to-visit-in-2026-with-visa-tips,10 Best South America Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1463,,dup-007,,7,0.376,high,DEEPEN,"high-demand route in template family dup-007 (n=38); rebuild as unique page, keep keyword"
10-dream-destinations-bangladesh-travelers-can-actually-afford-in-2026,10 Dream Destinations Bangladeshi Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1455,,dup-010,,7,0.044,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-dream-destinations-egypt-travelers-can-actually-afford-in-2026,10 Dream Destinations Egyptian Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1433,,dup-014,,6,0.045,med,CUT,"templated doorway in dup-014 (n=15 near-dupes), med-demand; noindex + remove/redirect"
10-dream-destinations-india-travelers-can-actually-afford-in-2026,10 Dream Destinations Indian Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1403,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-dream-destinations-nepal-travelers-can-actually-afford-in-2026,10 Dream Destinations Nepali Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1454,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
10-dream-destinations-nigeria-travelers-can-actually-afford-in-2026,10 Dream Destinations Nigerian Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1457,,dup-010,,7,0.044,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-dream-destinations-pakistan-travelers-can-actually-afford-in-2026,10 Dream Destinations Pakistani Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1413,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-dream-destinations-philippines-travelers-can-actually-afford-in-2026,10 Dream Destinations Filipino Travelers Can Actually Afford in 2026,Travel Tips,2026-06-15,1458,,dup-010,,7,0.044,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-affordable-bucket-list-trips-to-visit-in-2026-visa-cost-guide,12 Affordable Bucket-List Trips to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1400,,dup-007,,7,0.393,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-best-countries-for-remote-work-to-visit-in-2026-visa-cost-guide,12 Best Countries for Remote Work in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1417,,dup-007,,7,0.388,high,DEEPEN,"high-demand route in template family dup-007 (n=38); rebuild as unique page, keep keyword"
12-countries-bangladesh-travelers-can-visit-without-a-sponsor,12 Countries Bangladeshi Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1431,,dup-010,,7,0.047,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-countries-egypt-travelers-can-visit-without-a-sponsor,12 Countries Egyptian Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1469,,dup-014,,6,0.044,med,CUT,"templated doorway in dup-014 (n=15 near-dupes), med-demand; noindex + remove/redirect"
12-countries-india-travelers-can-visit-without-a-sponsor,12 Countries Indian Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1393,,dup-007,,7,0.394,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
12-countries-nepal-travelers-can-visit-without-a-sponsor,12 Countries Nepali Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1399,,dup-014,,6,0.046,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
12-countries-nigeria-travelers-can-visit-without-a-sponsor,12 Countries Nigerian Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1429,,dup-010,,7,0.047,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-countries-pakistan-travelers-can-visit-without-a-sponsor,12 Countries Pakistani Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1445,,dup-010,,7,0.03,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-countries-philippines-travelers-can-visit-without-a-sponsor,12 Countries Filipino Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1402,,dup-010,,7,0.046,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-countries-sri-lanka-travelers-can-visit-without-a-sponsor,12 Countries Sri Lankan Travelers Can Visit Without a Sponsor,Travel Tips,2026-06-15,1404,,dup-014,,6,0.046,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-bangladesh-travelers,12 Easiest Countries to Get a Visa for Bangladeshi Travelers (2026),Travel Tips,2026-06-15,1443,,dup-010,,7,0.03,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-egypt-travelers,12 Easiest Countries to Get a Visa for Egyptian Travelers (2026),Travel Tips,2026-06-15,1393,,dup-010,,7,0.046,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-india-travelers,12 Easiest Countries to Get a Visa for Indian Travelers (2026),Travel Tips,2026-06-15,1396,,dup-007,,7,0.393,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-nepal-travelers,12 Easiest Countries to Get a Visa for Nepali Travelers (2026),Travel Tips,2026-06-15,1404,,dup-014,,6,0.046,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-nigeria-travelers,12 Easiest Countries to Get a Visa for Nigerian Travelers (2026),Travel Tips,2026-06-15,1441,,dup-010,,7,0.03,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-pakistan-travelers,12 Easiest Countries to Get a Visa for Pakistani Travelers (2026),Travel Tips,2026-06-15,1390,,dup-007,,7,0.396,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-philippines-travelers,12 Easiest Countries to Get a Visa for Filipino Travelers (2026),Travel Tips,2026-06-15,1435,,dup-010,,7,0.047,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
12-easiest-countries-to-get-a-visa-for-sri-lanka-travelers,12 Easiest Countries to Get a Visa for Sri Lankan Travelers (2026),Travel Tips,2026-06-15,1410,,dup-014,,6,0.046,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
12-family-friendly-destinations-to-visit-in-2026-visa-cost-guide,12 Family-Friendly Destinations to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1391,,dup-007,,7,0.396,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-honeymoon-destinations-to-visit-in-2026-visa-cost-guide,12 Honeymoon Destinations to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1382,,dup-007,,7,0.399,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-most-beautiful-places-to-visit-in-2026-visa-cost-guide,12 Most Beautiful Places to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1388,,dup-007,,7,0.397,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-off-season-travel-deals-to-visit-in-2026-visa-cost-guide,12 Off-Season Travel Deals to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1392,,dup-007,,7,0.394,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-safest-countries-for-solo-female-travelers-to-visit-in-2026-visa-cost-guide,12 Safest Countries for Solo Female Travelers in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1402,,dup-007,,7,0.393,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
12-underrated-destinations-to-visit-in-2026-visa-cost-guide,12 Underrated Destinations to Visit in 2026 (Visa & Cost Guide),Travel Tips,2026-06-15,1390,,dup-007,,7,0.397,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-bangladesh-in-2026,15 Cheapest Countries to Visit from Bangladesh in 2026,Travel Tips,2026-06-15,1400,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-egypt-in-2026,15 Cheapest Countries to Visit from Egypt in 2026,Travel Tips,2026-06-15,1449,,dup-010,,7,0.045,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-india-in-2026,15 Cheapest Countries to Visit from India in 2026,Travel Tips,2026-06-15,1403,,dup-007,,7,0.392,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-nepal-in-2026,15 Cheapest Countries to Visit from Nepal in 2026,Travel Tips,2026-06-15,1452,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-nigeria-in-2026,15 Cheapest Countries to Visit from Nigeria in 2026,Travel Tips,2026-06-15,1407,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-pakistan-in-2026,15 Cheapest Countries to Visit from Pakistan in 2026,Travel Tips,2026-06-15,1403,,dup-007,,7,0.392,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-philippines-in-2026,15 Cheapest Countries to Visit from the Philippines in 2026,Travel Tips,2026-06-15,1513,,dup-010,,7,0.043,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-cheapest-countries-to-visit-from-sri-lanka-in-2026,15 Cheapest Countries to Visit from Sri Lanka in 2026,Travel Tips,2026-06-15,1458,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
15-countries-with-evisa-for-bangladesh-passport-holders-2026,15 Countries With e-Visa for Bangladesh Passport Holders (2026),Travel Tips,2026-06-15,1415,,dup-010,,7,0.045,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-egypt-passport-holders-2026,15 Countries With e-Visa for Egypt Passport Holders (2026),Travel Tips,2026-06-15,1476,,dup-014,,6,0.043,med,CUT,"templated doorway in dup-014 (n=15 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-india-passport-holders-2026,15 Countries With e-Visa for India Passport Holders (2026),Travel Tips,2026-06-15,1432,,dup-007,,7,0.383,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-nepal-passport-holders-2026,15 Countries With e-Visa for Nepal Passport Holders (2026),Travel Tips,2026-06-15,1454,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
15-countries-with-evisa-for-nigeria-passport-holders-2026,15 Countries With e-Visa for Nigeria Passport Holders (2026),Travel Tips,2026-06-15,1415,,dup-010,,7,0.045,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-pakistan-passport-holders-2026,15 Countries With e-Visa for Pakistan Passport Holders (2026),Travel Tips,2026-06-15,1410,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-philippines-passport-holders-2026,15 Countries With e-Visa for Philippines Passport Holders (2026),Travel Tips,2026-06-15,1460,,dup-010,,7,0.044,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
15-countries-with-evisa-for-sri-lanka-passport-holders-2026,15 Countries With e-Visa for Sri Lanka Passport Holders (2026),Travel Tips,2026-06-15,1460,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-bangladesh-citizens,20 Best Visa-on-Arrival Countries for Bangladeshi Citizens (2026),Travel Tips,2026-06-15,1414,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-egypt-citizens,20 Best Visa-on-Arrival Countries for Egyptian Citizens (2026),Travel Tips,2026-06-15,1459,,dup-018,,6,0.021,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-india-citizens,20 Best Visa-on-Arrival Countries for India Citizens (2026),Travel Tips,2026-06-15,1461,,dup-007,,7,0.375,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-nepal-citizens,20 Best Visa-on-Arrival Countries for Nepali Citizens (2026),Travel Tips,2026-06-15,1462,,dup-018,,6,0.021,low,CUT,"templated doorway in dup-018 (n=12 near-dupes), low-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-nigeria-citizens,20 Best Visa-on-Arrival Countries for Nigerian Citizens (2026),Travel Tips,2026-06-15,1416,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-pakistan-citizens,20 Best Visa-on-Arrival Countries for Pakistan Citizens (2026),Travel Tips,2026-06-15,1461,,dup-007,,7,0.375,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-philippines-citizens,20 Best Visa-on-Arrival Countries for Filipino Citizens (2026),Travel Tips,2026-06-15,1424,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
20-best-visa-on-arrival-countries-for-sri-lanka-citizens,20 Best Visa-on-Arrival Countries for Sri Lankan Citizens (2026),Travel Tips,2026-06-15,1399,,dup-018,,6,0.022,low,CUT,"templated doorway in dup-018 (n=12 near-dupes), low-demand; noindex + remove/redirect"
40-visa-free-countries-for-bangladesh-passport-holders-2026-list,40 Visa-Free Countries for Bangladesh Passport Holders (2026 List),Travel Tips,2026-06-15,1411,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-egypt-passport-holders-2026-list,40 Visa-Free Countries for Egypt Passport Holders (2026 List),Travel Tips,2026-06-15,1456,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-india-passport-holders-2026-list,40 Visa-Free Countries for India Passport Holders (2026 List),Travel Tips,2026-06-15,1461,,dup-007,,7,0.376,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-nepal-passport-holders-2026-list,40 Visa-Free Countries for Nepal Passport Holders (2026 List),Travel Tips,2026-06-15,1459,,dup-018,,6,0.022,low,CUT,"templated doorway in dup-018 (n=12 near-dupes), low-demand; noindex + remove/redirect"
40-visa-free-countries-for-nigeria-passport-holders-2026-list,40 Visa-Free Countries for Nigeria Passport Holders (2026 List),Travel Tips,2026-06-15,1413,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-pakistan-passport-holders-2026-list,40 Visa-Free Countries for Pakistan Passport Holders (2026 List),Travel Tips,2026-06-15,1461,,dup-007,,7,0.376,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-philippines-passport-holders-2026-list,40 Visa-Free Countries for Philippines Passport Holders (2026 List),Travel Tips,2026-06-15,1421,,dup-018,,6,0.022,med,CUT,"templated doorway in dup-018 (n=12 near-dupes), med-demand; noindex + remove/redirect"
40-visa-free-countries-for-sri-lanka-passport-holders-2026-list,40 Visa-Free Countries for Sri Lanka Passport Holders (2026 List),Travel Tips,2026-06-15,1463,,dup-018,,6,0.022,low,CUT,"templated doorway in dup-018 (n=12 near-dupes), low-demand; noindex + remove/redirect"
abu-dhabi-travel-guide-top-things-to-do-costs-visa-tips-2026,"Abu Dhabi Travel Guide 2026: Top Things to Do, Costs & Visa Tips",Country Guides,2026-06-15,1538,,dup-019,,4,0.047,low,CUT,"templated doorway in dup-019 (n=10 near-dupes), low-demand; noindex + remove/redirect"
accommodation-proof-for-visa-format-sample-common-mistakes,"Accommodation Proof for a Visa: Format, Sample & Common Mistakes (2026)",Document Help,2026-06-15,1450,,dup-006,,6,0.392,low,CUT,"templated doorway in dup-006 (n=40 near-dupes), low-demand; noindex + remove/redirect"
affidavit-of-support-for-visa-format-sample-common-mistakes,"Affidavit Of Support for a Visa: Format, Sample & Common Mistakes (2026)",Document Help,2026-06-15,1469,,dup-006,,6,0.389,low,CUT,"templated doorway in dup-006 (n=40 near-dupes), low-demand; noindex + remove/redirect"
amsterdam-travel-guide-top-things-to-do-costs-visa-tips-2026,"Amsterdam Travel Guide 2026: Top Things to Do, Costs & Visa Tips",Country Guides,2026-06-15,1501,,,,4,0.024,low,DEEPEN,"unique, 1501w, low-demand but linked; differentiate or fold later"
australia-student-visa-financial-requirements-2026-proof-of-funds-explained,Australia Student Visa Financial Requirements 2026: Proof of Funds Explained,Visa Guides,2026-06-15,1416,,,,4,0.025,high,KEEP,"unique, 1416w, high-demand, 2% boilerplate; reasonable depth — leave as-is"
australia-student-visa-for-bangladesh-students-2026-complete-step-by-step-guide,Australia Student Visa for Bangladesh Students (2026): Complete Step-by-Step Guide,Visa Guides,2026-06-15,1467,,dup-009,,8,0.382,high,DEEPEN,"high-demand route in template family dup-009 (n=34); rebuild as unique page, keep keyword"
australia-student-visa-for-india-students-2026-complete-step-by-step-guide,Australia Student Visa for India Students (2026): Complete Step-by-Step Guide,Visa Guides,2026-06-15,1467,,dup-009,,8,0.382,high,DEEPEN,"high-demand route in template family dup-009 (n=34); rebuild as unique page, keep keyword"
australia-student-visa-for-nigeria-students-2026-complete-step-by-step-guide,Australia Student Visa for Nigeria Students (2026): Complete Step-by-Step Guide,Visa Guides,2026-06-15,1467,,dup-009,,8,0.382,high,DEEPEN,"high-demand route in template family dup-009 (n=34); rebuild as unique page, keep keyword"
australia-student-visa-for-pakistan-students-2026-complete-step-by-step-guide,Australia Student Visa for Pakistan Students (2026): Complete Step-by-Step Guide,Visa Guides,2026-06-15,1467,,dup-009,,8,0.382,high,DEEPEN,"high-demand route in template family dup-009 (n=34); rebuild as unique page, keep keyword"
australia-student-visa-indians-2026,Australia Student Visa for Indian Students 2026: Complete Step-by-Step Guide,Visa Guides,2026-06-15,1327,,,,5,0.014,high,KEEP,"unique, 1327w, high-demand, 1% boilerplate; reasonable depth — leave as-is"
australia-student-visa-interview-questions-2026,Australia Student Visa (GTE/GS) Interview Questions & Answers (2026),Interview Prep,2026-06-15,1406,,,,5,0.029,high,KEEP,"unique, 1406w, high-demand, 3% boilerplate; reasonable depth — leave as-is"
australia-travel-guide-2026-visa-budget-best-time-to-visit-itinerary,"Australia Travel Guide 2026: Visa, Budget, Best Time & Itinerary",Country Guides,2026-06-15,1611,,dup-005,,4,0.046,high,DEEPEN,"high-demand route in template family dup-005 (n=44); rebuild as unique page, keep keyword"
australia-visa-processing-time-from-bangladesh-how-long-it-really-takes-2026,Australia Visa Processing Time from Bangladesh: How Long It Really Takes (2026),Visa Guides,2026-06-15,1454,,dup-003,,3,0.033,high,DEEPEN,"high-demand route in template family dup-003 (n=97); rebuild as unique page, keep keyword"
australia-visa-processing-time-from-india-2026,Australia Visa Processing Time from India: How Long It Really Takes (2026),Visa Guides,2026-06-15,1366,,,cnb-001,7,0.01,high,MERGE,exact-target duplicate (cnb-001); redirect into canonical sibling
